LONGITUDE,LATITUDE,LAND_USE_CLASS_0,LAND_USE_CLASS_1,LAND_USE_CLASS_2,LAND_USE_CLASS_3,LAND_USE_CLASS_4
23.8,48.2,0.0,0.8095238095238095,0.19047619047619047,0.0,0.0
23.8,48.3,0.0,1.0,0.0,0.0,0.0
23.8,48.4,0.0,1.0,0.0,0.0,0.0
23.8,48.5,0.0,1.0,0.0,0.0,0.0
23.8,48.6,0.0,0.88,0.12,0.0,0.0
23.8,48.7,0.0,1.0,0.0,0.0,0.0
23.8,48.8,0.0,1.0,0.0,0.0,0.0
23.8,48.9,0.0,1.0,0.0,0.0,0.0
23.8,49.0,0.0,0.0,0.47619047619047616,0.0,0.5238095238095238
23.8,49.1,0.0,1.0,0.0,0.0,0.0
23.8,49.2,0.0,0.05263157894736842,0.05263157894736842,0.8947368421052632,0.0
23.8,49.3,0.0,0.7368421052631579,0.0,0.2631578947368421,0.0
23.8,49.4,0.0,0.0,0.0,1.0,0.0
23.8,49.5,0.0,0.045454545454545456,0.0,0.6818181818181818,0.2727272727272727
23.8,49.6,0.0,0.0,0.0,0.9473684210526315,0.05263157894736842
23.8,49.7,0.0,0.23076923076923078,0.038461538461538464,0.7307692307692307,0.0
23.8,49.8,0.0,0.5909090909090909,0.0,0.3181818181818182,0.09090909090909091
23.8,49.9,0.0,0.7391304347826086,0.0,0.043478260869565216,0.21739130434782608
23.8,50.0,0.0,0.96,0.0,0.04,0.0
23.8,50.1,0.0,0.0,0.0,0.65,0.35
23.8,50.2,0.0,0.0,0.0,0.7916666666666666,0.20833333333333334
23.8,50.3,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0
23.8,50.4,0.0,0.47368421052631576,0.0,0.5263157894736842,0.0
23.8,51.2,0.0,1.0,0.0,0.0,0.0
23.8,51.3,0.0,1.0,0.0,0.0,0.0
23.8,51.4,0.0,0.42105263157894735,0.47368421052631576,0.10526315789473684,0.0
23.8,51.5,1.0,0.0,0.0,0.0,0.0
23.8,51.6,0.0,0.5714285714285714,0.047619047619047616,0.2857142857142857,0.09523809523809523
23.8,51.7,0.0,0.12,0.0,0.88,0.0
23.9,48.0,0.0,0.25,0.4166666666666667,0.08333333333333333,0.25
23.9,48.1,0.0,0.9523809523809523,0.047619047619047616,0.0,0.0
23.9,48.2,0.04,0.72,0.04,0.0,0.2
23.9,48.3,0.0,0.9523809523809523,0.047619047619047616,0.0,0.0
23.9,48.4,0.0,1.0,0.0,0.0,0.0
23.9,48.5,0.0,0.15,0.85,0.0,0.0
23.9,48.6,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0
23.9,48.7,0.0,1.0,0.0,0.0,0.0
23.9,48.8,0.0,1.0,0.0,0.0,0.0
23.9,48.9,0.0,0.0,0.2608695652173913,0.0,0.7391304347826086
23.9,49.0,0.0,0.047619047619047616,0.0,0.0,0.9523809523809523
23.9,49.1,0.04,0.08,0.2,0.68,0.0
23.9,49.2,0.0,0.0,0.0,1.0,0.0
23.9,49.3,0.0,0.04,0.0,0.52,0.44
