OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%),YEAR
UA12,2023-01-05,5.7865,-6.4635,2.5927496,2.4999998,0.0,310.9264,97.229164,2023
UA18,2023-01-05,5.072,-3.428,0.36991644,1.1,0.14,328.88965,96.44167,2023
UA14,2023-01-05,5.429,-9.9210005,1.0039997,3.6,0.63,309.40796,94.979164,2023
UA71,2023-01-05,6.335,-3.065,2.1204166,1.9000001,0.21000001,323.6509,97.862495,2023
UA53,2023-01-05,4.9745,-9.9255,-0.29216638,2.2,0.0,340.72156,98.75,2023
UA63,2023-01-05,4.5864997,-12.9635,-2.2447498,1.4000001,0.21000001,347.0004,99.012505,2023
UA18,2023-01-06,-3.578,-5.978,-5.2405,0.0,0.21000001,98.17478,97.24583,2023
UA46,2023-01-06,4.8910003,0.69100004,3.2993336,2.6,1.05,251.5074,97.333336,2023
UA21,2023-01-06,6.823,2.923,4.6188335,2.8,0.0,118.33107,81.35833,2023
UA65,2023-01-06,1.1854999,-3.6645,-0.9249167,0.0,0.0,52.316914,72.60833,2023
UA74,2023-01-06,-9.5215,-12.8715,-11.92775,0.0,0.0,77.18713,94.416664,2023
UA05,2023-01-06,-2.148,-3.498,-2.8334167,0.0,0.90999997,111.2166,98.53333,2023
UA14,2023-01-06,-8.971,-13.521,-11.841832,0.0,0.0,354.25644,72.458336,2023
UA30,2023-01-06,-6.3425,-10.2425,-8.877915,0.0,0.0,84.9633,96.62083,2023
UA51,2023-01-06,2.755,-0.945,1.4945831,1.0,0.21000001,69.29092,85.99583,2023
UA59,2023-01-06,-13.1545,-17.4545,-15.821166,0.0,0.0,21.266535,66.40833,2023
UA12,2023-01-06,-7.1635003,-10.513499,-9.059333,0.0,0.0,13.095731,71.38333,2023
UA09,2023-01-06,-9.974,-14.374,-12.519833,0.0,0.0,338.72388,81.512505,2023
UA43,2023-01-06,1.0285001,-3.6215,-1.6985835,0.0,0.0,53.075832,61.566666,2023
UA71,2023-01-06,-3.665,-7.915,-7.0712504,0.0,0.0,52.50577,95.354164,2023
